Doc No,Tran Type,Customer ID,Class,OrderDate,ShipDate,Terms,Ship Method,Line No,Item,Ordered,Shipped,BackOrder,BackOrder2,PricePer,Status,SalesRepID,CustomerType,DiscountAmount,SOAmount,SOPaymentAmount,Available,InvoiceNo
33101,Sales Order,6196,Retail:Online,5/8/2028,5/12/2028,Paypal,Free Shipping,1,RCJ0102-34WILD,1,1,0,0,40,Closed,45,Retail,9.8,88.2,88.2,0,45808
33101,Sales Order,6196,Retail:Online,5/8/2028,5/12/2028,Paypal,Free Shipping,2,RVRS-1701,1,1,0,0,58,Closed,45,Retail,9.8,88.2,88.2,2,45808
33101,Sales Order,6196,Retail:Online,5/8/2028,5/12/2028,Paypal,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,9.8,88.2,88.2,0,45808
33102,Sales Order,6197,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,1,DAC0120-0015,1,1,0,0,6.75,Closed,45,Retail,0,13.8,13.8,0,45790
33102,Sales Order,6197,Retail:Online,5/8/2028,5/12/2028,Paypal,USPS Priority,2,Shipping & Handling,1,1,0,0,7.05,Closed,45,Retail,0,13.8,13.8,0,45790
33103,Sales Order,6198,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,ROD0001-0002,1,1,0,0,31.5,Closed,45,Retail,0,38.55,38.55,-3,45894
33103,Sales Order,6198,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.05,Closed,45,Retail,0,38.55,38.55,0,45894
33104,Sales Order,6199,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,3,BAA0001,1,0,0,0,10,Closed,45,Retail,0,43.05,38.05,0,45805
33104,Sales Order,6199,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,1,DAC0160-0002,1,1,0,0,26,Closed,45,Retail,0,43.05,38.05,7,45805
33104,Sales Order,6199,Retail:Online,5/8/2028,5/12/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.05,Closed,45,Retail,0,43.05,38.05,0,45805
